l	chi	xmax
-4	2	0.997055
-4	1.9	0.997054
-4	1.8	0.997053
-4	1.7	0.997051
-4	1.6	0.997049
-4	1.5	0.997047
-4	1.4	0.997044
-4	1.3	0.99704
-4	1.2	0.997035
-4	1.1	0.997029
-4	1	0.997021
-4	0.9	0.997011
-4	0.8	0.996998
-4	0.7	0.996983
-4	0.6	0.996963
-4	0.5	0.996938
-4	0.4	0.996907
-4	0.3	0.996868
-4	0.2	0.996819
-4	0.1	0.996756
-4	0	0.996678
-4	-0.1	0.99658
-4	-0.2	0.996455
-4	-0.3	0.996299
-4	-0.4	0.996102
-4	-0.5	0.995855
-4	-0.6	0.995543
-4	-0.7	0.99515
-4	-0.8	0.994656
-4	-0.9	0.994034
-4	-1	0.993251
-4	-1.1	0.992265
-4	-1.2	0.991024
-4	-1.3	0.989461
-4	-1.4	0.987494
-4	-1.5	0.985017
-4	-1.6	0.981899
-4	-1.7	0.977975
-4	-1.8	0.973033
-4	-1.9	0.966812
-4	-2	0.958981
-4	-2.1	0.949121
-4	-2.2	0.936709
-4	-2.3	0.921083
-4	-2.4	0.901411
-4	-2.5	0.876645
-4	-2.6	0.845467
-4	-2.7	0.806216
-4	-2.8	0.756801
-4	-2.9	0.694593
-4	-3	0.616276
-4	-3.1	0.517682
-4	-3.2	0.39356
-4	-3.3	0.237298
-4	-3.4	0.040577
-3.75	2	0.997028
-3.75	1.9	0.997027
-3.75	1.8	0.997025
-3.75	1.7	0.997023
-3.75	1.6	0.99702
-3.75	1.5	0.997017
-3.75	1.4	0.997013
-3.75	1.3	0.997008
-3.75	1.2	0.997001
-3.75	1.1	0.996993
-3.75	1	0.996982
-3.75	0.9	0.996969
-3.75	0.8	0.996953
-3.75	0.7	0.996932
-3.75	0.6	0.996905
-3.75	0.5	0.996872
-3.75	0.4	0.996831
-3.75	0.3	0.996778
-3.75	0.2	0.996712
-3.75	0.1	0.996629
-3.75	0	0.996525
-3.75	-0.1	0.996394
-3.75	-0.2	0.996228
-3.75	-0.3	0.99602
-3.75	-0.4	0.995757
-3.75	-0.5	0.995427
-3.75	-0.6	0.995011
-3.75	-0.7	0.994488
-3.75	-0.8	0.993829
-3.75	-0.9	0.993
-3.75	-1	0.991955
-3.75	-1.1	0.99064
-3.75	-1.2	0.988985
-3.75	-1.3	0.986901
-3.75	-1.4	0.984278
-3.75	-1.5	0.980976
-3.75	-1.6	0.976818
-3.75	-1.7	0.971584
-3.75	-1.8	0.964994
-3.75	-1.9	0.956698
-3.75	-2	0.946255
-3.75	-2.1	0.933107
-3.75	-2.2	0.916555
-3.75	-2.3	0.895717
-3.75	-2.4	0.869484
-3.75	-2.5	0.836458
-3.75	-2.6	0.794882
-3.75	-2.7	0.742539
-3.75	-2.8	0.676644
-3.75	-2.9	0.593688
-3.75	-3	0.489251
-3.75	-3.1	0.357774
-3.75	-3.2	0.192254
-3.5	2	0.99698
-3.5	1.9	0.996978
-3.5	1.8	0.996976
-3.5	1.7	0.996973
-3.5	1.6	0.99697
-3.5	1.5	0.996965
-3.5	1.4	0.99696
-3.5	1.3	0.996953
-3.5	1.2	0.996944
-3.5	1.1	0.996933
-3.5	1	0.996919
-3.5	0.9	0.996902
-3.5	0.8	0.996879
-3.5	0.7	0.996852
-3.5	0.6	0.996817
-3.5	0.5	0.996773
-3.5	0.4	0.996717
-3.5	0.3	0.996648
-3.5	0.2	0.99656
-3.5	0.1	0.996449
-3.5	0	0.99631
-3.5	-0.1	0.996134
-3.5	-0.2	0.995914
-3.5	-0.3	0.995636
-3.5	-0.4	0.995286
-3.5	-0.5	0.994846
-3.5	-0.6	0.994291
-3.5	-0.7	0.993593
-3.5	-0.8	0.992714
-3.5	-0.9	0.991608
-3.5	-1	0.990215
-3.5	-1.1	0.988462
-3.5	-1.2	0.986255
-3.5	-1.3	0.983476
-3.5	-1.4	0.979978
-3.5	-1.5	0.975574
-3.5	-1.6	0.97003
-3.5	-1.7	0.963049
-3.5	-1.8	0.954262
-3.5	-1.9	0.9432
-3.5	-2	0.929273
-3.5	-2.1	0.91174
-3.5	-2.2	0.889668
-3.5	-2.3	0.86188
-3.5	-2.4	0.826898
-3.5	-2.5	0.782857
-3.5	-2.6	0.727414
-3.5	-2.7	0.657614
-3.5	-2.8	0.569742
-3.5	-2.9	0.459118
-3.5	-3	0.31985
-3.5	-3.1	0.144522
-3.25	2	0.996896
-3.25	1.9	0.996894
-3.25	1.8	0.996891
-3.25	1.7	0.996887
-3.25	1.6	0.996882
-3.25	1.5	0.996876
-3.25	1.4	0.996869
-3.25	1.3	0.99686
-3.25	1.2	0.996848
-3.25	1.1	0.996833
-3.25	1	0.996814
-3.25	0.9	0.996791
-3.25	0.8	0.996762
-3.25	0.7	0.996725
-3.25	0.6	0.996678
-3.25	0.5	0.996619
-3.25	0.4	0.996545
-3.25	0.3	0.996452
-3.25	0.2	0.996335
-3.25	0.1	0.996188
-3.25	0	0.996002
-3.25	-0.1	0.995768
-3.25	-0.2	0.995474
-3.25	-0.3	0.995103
-3.25	-0.4	0.994637
-3.25	-0.5	0.994049
-3.25	-0.6	0.99331
-3.25	-0.7	0.992379
-3.25	-0.8	0.991207
-3.25	-0.9	0.989732
-3.25	-1	0.987875
-3.25	-1.1	0.985537
-3.25	-1.2	0.982594
-3.25	-1.3	0.978888
-3.25	-1.4	0.974223
-3.25	-1.5	0.96835
-3.25	-1.6	0.960957
-3.25	-1.7	0.951649
-3.25	-1.8	0.939931
-3.25	-1.9	0.925179
-3.25	-2	0.906607
-3.25	-2.1	0.883227
-3.25	-2.2	0.853793
-3.25	-2.3	0.816737
-3.25	-2.4	0.770087
-3.25	-2.5	0.711358
-3.25	-2.6	0.637423
-3.25	-2.7	0.544344
-3.25	-2.8	0.427165
-3.25	-2.9	0.279645
-3.25	-3	0.093928
-3	2	0.996747
-3	1.9	0.996744
-3	1.8	0.99674
-3	1.7	0.996735
-3	1.6	0.996729
-3	1.5	0.996721
-3	1.4	0.996711
-3	1.3	0.996699
-3	1.2	0.996683
-3	1.1	0.996663
-3	1	0.996639
-3	0.9	0.996607
-3	0.8	0.996568
-3	0.7	0.996519
-3	0.6	0.996457
-3	0.5	0.996378
-3	0.4	0.996279
-3	0.3	0.996155
-3	0.2	0.995999
-3	0.1	0.995803
-3	0	0.995555
-3	-0.1	0.995243
-3	-0.2	0.99485
-3	-0.3	0.994357
-3	-0.4	0.993734
-3	-0.5	0.992951
-3	-0.6	0.991965
-3	-0.7	0.990724
-3	-0.8	0.989161
-3	-0.9	0.987194
-3	-1	0.984718
-3	-1.1	0.9816
-3	-1.2	0.977675
-3	-1.3	0.972733
-3	-1.4	0.966512
-3	-1.5	0.958681
-3	-1.6	0.948821
-3	-1.7	0.936409
-3	-1.8	0.920783
-3	-1.9	0.901111
-3	-2	0.876345
-3	-2.1	0.845167
-3	-2.2	0.805916
-3	-2.3	0.756502
-3	-2.4	0.694293
-3	-2.5	0.615977
-3	-2.6	0.517382
-3	-2.7	0.39326
-3	-2.8	0.236999
-3	-2.9	0.040277
-2.75	2	0.996484
-2.75	1.9	0.99648
-2.75	1.8	0.996474
-2.75	1.7	0.996468
-2.75	1.6	0.996459
-2.75	1.5	0.996449
-2.75	1.4	0.996436
-2.75	1.3	0.996419
-2.75	1.2	0.996398
-2.75	1.1	0.996372
-2.75	1	0.996339
-2.75	0.9	0.996298
-2.75	0.8	0.996245
-2.75	0.65	0.99614
-2.75	0.55	0.996047
-2.75	0.45	0.99593
-2.75	0.35	0.995782
-2.75	0.25	0.995597
-2.75	0.15	0.995363
-2.75	0.05	0.995069
-2.75	-0.05	0.994698
-2.75	-0.15	0.994232
-2.75	-0.25	0.993644
-2.75	-0.35	0.992905
-2.75	-0.45	0.991974
-2.75	-0.55	0.990802
-2.75	-0.65	0.989327
-2.75	-0.75	0.98747
-2.75	-0.85	0.985132
-2.75	-0.95	0.982189
-2.75	-1.05	0.978483
-2.75	-1.15	0.973818
-2.75	-1.25	0.967945
-2.75	-1.35	0.960552
-2.75	-1.45	0.951244
-2.75	-1.55	0.939526
-2.75	-1.65	0.924774
-2.75	-1.75	0.906202
-2.75	-1.85	0.882822
-2.75	-1.95	0.853388
-2.75	-2.05	0.816332
-2.75	-2.15	0.769682
-2.75	-2.25	0.710953
-2.75	-2.35	0.637018
-2.75	-2.45	0.543939
-2.75	-2.55	0.42676
-2.75	-2.65	0.27924
-2.75	-2.75	0.093523
-2.5	2	0.996017
-2.5	1.9	0.996012
-2.5	1.8	0.996005
-2.5	1.7	0.995996
-2.5	1.6	0.995985
-2.5	1.5	0.995971
-2.5	1.4	0.995953
-2.5	1.3	0.995931
-2.5	1.2	0.995904
-2.5	1.1	0.995869
-2.5	1	0.995825
-2.5	0.9	0.995769
-2.5	0.8	0.995699
-2.5	0.65	0.995559
-2.5	0.55	0.995435
-2.5	0.45	0.995279
-2.5	0.35	0.995082
-2.5	0.25	0.994834
-2.5	0.15	0.994523
-2.5	0.05	0.99413
-2.5	-0.05	0.993636
-2.5	-0.15	0.993014
-2.5	-0.25	0.992231
-2.5	-0.35	0.991245
-2.5	-0.45	0.990004
-2.5	-0.55	0.988441
-2.5	-0.65	0.986474
-2.5	-0.75	0.983997
-2.5	-0.85	0.98088
-2.5	-0.95	0.976954
-2.5	-1.05	0.972013
-2.5	-1.15	0.965792
-2.5	-1.25	0.95796
-2.5	-1.35	0.948101
-2.5	-1.45	0.935689
-2.5	-1.55	0.920063
-2.5	-1.65	0.900391
-2.5	-1.75	0.875625
-2.5	-1.85	0.844447
-2.5	-1.95	0.805195
-2.5	-2.05	0.755781
-2.5	-2.15	0.693573
-2.5	-2.25	0.615256
-2.5	-2.35	0.516662
-2.5	-2.45	0.392539
-2.5	-2.55	0.236278
-2.5	-2.65	0.039557
-2	2	0.993723
-2	1.9	0.993713
-2	1.8	0.993701
-2	1.7	0.993685
-2	1.6	0.993665
-2	1.5	0.993641
-2	1.4	0.993609
-2	1.3	0.99357
-2	1.2	0.993521
-2	1.1	0.993459
-2	1	0.99338
-2	0.9	0.993281
-2	0.8	0.993157
-2	0.7	0.993001
-2	0.6	0.992805
-2	0.5	0.992557
-2	0.4	0.992245
-2	0.3	0.991852
-2	0.2	0.991358
-2	0.1	0.990736
-2	0	0.989953
-2	-0.1	0.988967
-2	-0.2	0.987726
-2	-0.3	0.986163
-2	-0.4	0.984196
-2	-0.5	0.981719
-2	-0.6	0.978602
-2	-0.7	0.974676
-2	-0.8	0.969735
-2	-0.9	0.963514
-2	-1	0.955683
-2	-1.1	0.945823
-2	-1.2	0.933411
-2	-1.3	0.917785
-2	-1.4	0.898113
-2	-1.5	0.873347
-2	-1.6	0.842169
-2	-1.7	0.802918
-2	-1.8	0.753504
-2	-1.9	0.691295
-2	-2	0.612979
-2	-2.1	0.514384
-2	-2.2	0.390262
-2	-2.3	0.234
-2	-2.4	0.037279
-1.75	2	0.991117
-1.75	1.9	0.991104
-1.75	1.8	0.991088
-1.75	1.7	0.991067
-1.75	1.6	0.991041
-1.75	1.5	0.991008
-1.75	1.4	0.990966
-1.75	1.3	0.990914
-1.75	1.2	0.990848
-1.75	1.1	0.990765
-1.75	1	0.990661
-1.75	0.9	0.990529
-1.75	0.8	0.990363
-1.75	0.7	0.990155
-1.75	0.6	0.989893
-1.75	0.5	0.989563
-1.75	0.4	0.989147
-1.75	0.3	0.988623
-1.75	0.2	0.987965
-1.75	0.1	0.987135
-1.75	0	0.986091
-1.75	-0.1	0.984776
-1.75	-0.2	0.98312
-1.75	-0.3	0.981037
-1.75	-0.4	0.978413
-1.75	-0.5	0.975111
-1.75	-0.6	0.970953
-1.75	-0.7	0.965719
-1.75	-0.8	0.959129
-1.75	-0.9	0.950834
-1.75	-1	0.94039
-1.75	-1.1	0.927243
-1.75	-1.2	0.91069
-1.75	-1.3	0.889852
-1.75	-1.4	0.863619
-1.75	-1.5	0.830594
-1.75	-1.6	0.789017
-1.75	-1.7	0.736675
-1.75	-1.8	0.67078
-1.75	-1.9	0.587823
-1.75	-2	0.483387
-1.75	-2.1	0.35191
-1.75	-2.2	0.186389
-1.5	2	0.98649
-1.5	1.9	0.986472
-1.5	1.8	0.98645
-1.5	1.7	0.986423
-1.5	1.6	0.986388
-1.5	1.5	0.986344
-1.5	1.4	0.986288
-1.5	1.3	0.986218
-1.5	1.2	0.986131
-1.5	1.1	0.98602
-1.5	1	0.985881
-1.5	0.9	0.985705
-1.5	0.8	0.985485
-1.5	0.7	0.985207
-1.5	0.6	0.984857
-1.5	0.5	0.984416
-1.5	0.4	0.983862
-1.5	0.3	0.983164
-1.5	0.2	0.982285
-1.5	0.1	0.981179
-1.5	0	0.979787
-1.5	-0.1	0.978033
-1.5	-0.2	0.975826
-1.5	-0.3	0.973047
-1.5	-0.4	0.969549
-1.5	-0.5	0.965145
-1.5	-0.6	0.9596
-1.5	-0.7	0.952621
-1.5	-0.8	0.943833
-1.5	-0.9	0.932771
-1.5	-1	0.918844
-1.5	-1.1	0.901311
-1.5	-1.2	0.879239
-1.5	-1.3	0.851451
-1.5	-1.4	0.816469
-1.5	-1.5	0.772428
-1.5	-1.6	0.716984
-1.5	-1.7	0.647185
-1.5	-1.8	0.559313
-1.5	-1.9	0.448689
-1.5	-2	0.30942
-1.5	-2.1	0.134092
-1.25	2	0.978269
-1.25	1.9	0.978245
-1.25	1.8	0.978216
-1.25	1.7	0.978179
-1.25	1.6	0.978132
-1.25	1.5	0.978073
-1.25	1.4	0.978
-1.25	1.3	0.977907
-1.25	1.2	0.977789
-1.25	1.1	0.977642
-1.25	1	0.977456
-1.25	0.9	0.977222
-1.25	0.8	0.976928
-1.25	0.7	0.976557
-1.25	0.6	0.976091
-1.25	0.5	0.975504
-1.25	0.4	0.974764
-1.25	0.3	0.973834
-1.25	0.2	0.972662
-1.25	0.1	0.971187
-1.25	0	0.969329
-1.25	-0.1	0.966991
-1.25	-0.2	0.964048
-1.25	-0.3	0.960342
-1.25	-0.4	0.955677
-1.25	-0.5	0.949805
-1.25	-0.6	0.942411
-1.25	-0.7	0.933103
-1.25	-0.8	0.921385
-1.25	-0.9	0.906633
-1.25	-1	0.888061
-1.25	-1.1	0.864681
-1.25	-1.2	0.835247
-1.25	-1.3	0.798191
-1.25	-1.4	0.751541
-1.25	-1.5	0.692813
-1.25	-1.6	0.618878
-1.25	-1.7	0.525799
-1.25	-1.8	0.408619
-1.25	-1.9	0.261099
-1.25	-2	0.075382
-1	2	0.963659
-1	1.9	0.963628
-1	1.8	0.963589
-1	1.7	0.963539
-1	1.6	0.963477
-1	1.5	0.963399
-1	1.4	0.9633
-1	1.3	0.963176
-1	1.2	0.96302
-1	1.1	0.962823
-1	1	0.962575
-1	0.9	0.962264
-1	0.8	0.961871
-1	0.7	0.961377
-1	0.6	0.960755
-1	0.5	0.959972
-1	0.4	0.958986
-1	0.3	0.957745
-1	0.2	0.956182
-1	0.1	0.954215
-1	0	0.951738
-1	-0.1	0.94862
-1	-0.2	0.944695
-1	-0.3	0.939754
-1	-0.4	0.933533
-1	-0.5	0.925702
-1	-0.6	0.915842
-1	-0.7	0.90343
-1	-0.8	0.887804
-1	-0.9	0.868131
-1	-1	0.843366
-1	-1.1	0.812187
-1	-1.2	0.772937
-1	-1.3	0.723522
-1	-1.4	0.661313
-1	-1.5	0.582997
-1	-1.6	0.484403
-1	-1.7	0.36028
-1	-1.8	0.204019
-1	-1.9	0.013101
-0.75	2	0.937693
-0.75	1.9	0.937651
-0.75	1.8	0.937599
-0.75	1.7	0.937533
-0.75	1.6	0.93745
-0.75	1.5	0.937345
-0.75	1.4	0.937214
-0.75	1.3	0.937048
-0.75	1.2	0.93684
-0.75	1.1	0.936578
-0.75	1	0.936248
-0.75	0.9	0.935832
-0.75	0.8	0.935308
-0.75	0.7	0.934649
-0.75	0.6	0.93382
-0.75	0.5	0.932775
-0.75	0.4	0.93146
-0.75	0.3	0.929805
-0.75	0.2	0.927722
-0.75	0.1	0.925098
-0.75	0	0.921796
-0.75	-0.1	0.917638
-0.75	-0.2	0.912404
-0.75	-0.3	0.905814
-0.75	-0.4	0.897519
-0.75	-0.5	0.887075
-0.75	-0.6	0.873927
-0.75	-0.7	0.857375
-0.75	-0.8	0.836537
-0.75	-0.9	0.810304
-0.75	-1	0.777279
-0.75	-1.1	0.735702
-0.75	-1.2	0.68336
-0.75	-1.3	0.617465
-0.75	-1.4	0.534508
-0.75	-1.5	0.430072
-0.75	-1.6	0.298595
-0.75	-1.7	0.133166
-0.5	2	0.891535
-0.5	1.9	0.891479
-0.5	1.8	0.891409
-0.5	1.7	0.891321
-0.5	1.6	0.891211
-0.5	1.5	0.891072
-0.5	1.4	0.890896
-0.5	1.3	0.890675
-0.5	1.2	0.890398
-0.5	1.1	0.890048
-0.5	1	0.889608
-0.5	0.9	0.889053
-0.5	0.8	0.888355
-0.5	0.7	0.887476
-0.5	0.6	0.88637
-0.5	0.5	0.884977
-0.5	0.4	0.883224
-0.5	0.3	0.881017
-0.5	0.2	0.878238
-0.5	0.1	0.87474
-0.5	0	0.870336
-0.5	-0.1	0.864792
-0.5	-0.2	0.857811
-0.5	-0.3	0.849024
-0.5	-0.4	0.837962
-0.5	-0.5	0.824035
-0.5	-0.6	0.806502
-0.5	-0.7	0.78443
-0.5	-0.8	0.756642
-0.5	-0.9	0.72166
-0.5	-1	0.677619
-0.5	-1.1	0.622176
-0.5	-1.2	0.552376
-0.5	-1.3	0.464505
-0.5	-1.4	0.35389
-0.5	-1.5	0.214884
-0.5	-1.6	0.05268
-0.25	2	0.809479
-0.25	1.9	0.809404
-0.25	1.8	0.809311
-0.25	1.7	0.809194
-0.25	1.6	0.809047
-0.25	1.5	0.808861
-0.25	1.4	0.808627
-0.25	1.3	0.808333
-0.25	1.2	0.807962
-0.25	1.1	0.807496
-0.25	1	0.806909
-0.25	0.9	0.806169
-0.25	0.8	0.805238
-0.25	0.7	0.804067
-0.25	0.6	0.802592
-0.25	0.5	0.800735
-0.25	0.4	0.798396
-0.25	0.3	0.795453
-0.25	0.2	0.791748
-0.25	0.1	0.787083
-0.25	0	0.78121
-0.25	-0.1	0.773817
-0.25	-0.2	0.764509
-0.25	-0.3	0.752792
-0.25	-0.4	0.738041
-0.25	-0.5	0.71947
-0.25	-0.6	0.696092
-0.25	-0.7	0.666662
-0.25	-0.8	0.629614
-0.25	-0.9	0.58298
-0.25	-1	0.524291
-0.25	-1.1	0.450479
-0.25	-1.2	0.357867
-0.25	-1.3	0.243042
-0.25	-1.4	0.110944
-0.25	-1.5	0.0123
0	2	0.664548
0	1.9	0.664449
0	1.8	0.664326
0	1.7	0.664171
0	1.6	0.663976
0	1.5	0.66373
0	1.4	0.66342
0	1.3	0.663031
0	1.2	0.66254
0	1.1	0.661922
0	1	0.661145
0	0.9	0.660166
0	0.8	0.658934
0	0.7	0.657383
0	0.6	0.65543
0	0.5	0.652972
0	0.4	0.649879
0	0.3	0.645985
0	0.2	0.641084
0	0.1	0.634916
0	0	0.627155
0	-0.1	0.61739
0	-0.2	0.605107
0	-0.3	0.589661
0	-0.4	0.570246
0	-0.5	0.545861
0	-0.6	0.515269
0	-0.7	0.476969
0	-0.8	0.429198
0	-0.9	0.370055
0	-1	0.297987
0	-1.1	0.213359
0	-1.2	0.122575
0	-1.3	0.043761
0	-1.4	0.001393
0.25	2	0.442719
0.25	1.9	0.442607
0.25	1.8	0.442465
0.25	1.7	0.442287
0.25	1.6	0.442063
0.25	1.5	0.441781
0.25	1.4	0.441426
0.25	1.3	0.440979
0.25	1.2	0.440417
0.25	1.1	0.43971
0.25	1	0.43882
0.25	0.9	0.4377
0.25	0.8	0.436291
0.25	0.7	0.43452
0.25	0.6	0.432294
0.25	0.5	0.429496
0.25	0.4	0.425981
0.25	0.3	0.42157
0.25	0.2	0.416038
0.25	0.1	0.409107
0.25	0	0.400437
0.25	-0.1	0.389612
0.25	-0.2	0.376131
0.25	-0.3	0.359404
0.25	-0.4	0.338752
0.25	-0.5	0.313436
0.25	-0.6	0.28273
0.25	-0.7	0.246068
0.25	-0.8	0.203351
0.25	-0.9	0.155434
0.25	-1	0.104778
0.25	-1.1	0.055903
0.25	-1.2	0.016295
0.5	2	0.245447
0.5	1.9	0.245359
0.5	1.8	0.245248
0.5	1.7	0.245108
0.5	1.6	0.244932
0.5	1.5	0.24471
0.5	1.4	0.244432
0.5	1.3	0.244081
0.5	1.2	0.24364
0.5	1.1	0.243086
0.5	1	0.242388
0.5	0.9	0.241512
0.5	0.8	0.240412
0.5	0.7	0.23903
0.5	0.6	0.237296
0.5	0.5	0.235124
0.5	0.4	0.232404
0.5	0.3	0.229005
0.5	0.2	0.224764
0.5	0.1	0.219486
0.5	0	0.212939
0.5	-0.1	0.204849
0.5	-0.2	0.194905
0.5	-0.3	0.182766
0.5	-0.4	0.168081
0.5	-0.5	0.150527
0.5	-0.6	0.129881
0.5	-0.7	0.10614
0.5	-0.8	0.079735
0.5	-0.9	0.051903
0.5	-1	0.025337
0.5	-1.1	0.005298
0.75	2	0.136993
0.75	1.9	0.136929
0.75	1.8	0.136849
0.75	1.7	0.136747
0.75	1.6	0.13662
0.75	1.5	0.136459
0.75	1.4	0.136257
0.75	1.3	0.136003
0.75	1.2	0.135683
0.75	1.1	0.135281
0.75	1	0.134776
0.75	0.9	0.134142
0.75	0.8	0.133345
0.75	0.7	0.132345
0.75	0.6	0.131092
0.75	0.5	0.129523
0.75	0.4	0.127562
0.75	0.3	0.125113
0.75	0.2	0.122065
0.75	0.1	0.118282
0.75	0	0.113604
0.75	-0.1	0.10785
0.75	-0.2	0.100818
0.75	-0.3	0.092304
0.75	-0.4	0.08212
0.75	-0.5	0.070145
0.75	-0.6	0.056408
0.75	-0.7	0.041236
0.75	-0.8	0.025501
0.75	-0.9	0.01104
0.75	-1	0.001356
1	2	0.077464
1	1.9	0.077416
1	1.8	0.077355
1	1.7	0.077279
1	1.6	0.077183
1	1.5	0.077062
1	1.4	0.07691
1	1.3	0.076719
1	1.2	0.076479
1	1.1	0.076177
1	1	0.075798
1	0.9	0.075322
1	0.8	0.074725
1	0.7	0.073977
1	0.6	0.07304
1	0.5	0.07187
1	0.4	0.070409
1	0.3	0.068592
1	0.2	0.066338
1	0.1	0.063554
1	0	0.060133
1	-0.1	0.05596
1	-0.2	0.05092
1	-0.3	0.044912
1	-0.4	0.037882
1	-0.5	0.029881
1	-0.6	0.021154
1	-0.7	0.012306
1	-0.8	0.004568
1	-0.9	2.39E-4
1.25	2	0.043845
1.25	1.9	0.043808
1.25	1.8	0.043763
1.25	1.7	0.043705
1.25	1.6	0.043633
1.25	1.5	0.043542
1.25	1.4	0.043427
1.25	1.3	0.043283
1.25	1.2	0.043102
1.25	1.1	0.042876
1.25	1	0.042591
1.25	0.9	0.042233
1.25	0.8	0.041785
1.25	0.7	0.041225
1.25	0.6	0.040525
1.25	0.5	0.039652
1.25	0.4	0.038566
1.25	0.3	0.037221
1.25	0.2	0.035562
1.25	0.1	0.033526
1.25	0	0.031049
1.25	-0.1	0.028065
1.25	-0.2	0.024523
1.25	-0.3	0.020403
1.25	-0.4	0.015756
1.25	-0.5	0.01076
1.25	-0.6	0.005829
1.25	-0.7	0.001779
1.5	2	0.024844
1.5	1.9	0.024817
1.5	1.8	0.024782
1.5	1.7	0.024739
1.5	1.6	0.024684
1.5	1.5	0.024616
1.5	1.4	0.02453
1.5	1.3	0.024421
1.5	1.2	0.024285
1.5	1.1	0.024115
1.5	1	0.023901
1.5	0.9	0.023633
1.5	0.8	0.023298
1.5	0.7	0.022879
1.5	0.6	0.022358
1.5	0.5	0.02171
1.5	0.4	0.020908
1.5	0.3	0.019919
1.5	0.2	0.018709
1.5	0.1	0.01724
1.5	0	0.015476
1.5	-0.1	0.01339
1.5	-0.2	0.010981
1.5	-0.3	0.008289
1.5	-0.4	0.005443
1.5	-0.5	0.002719
1.5	-0.6	6.56E-4
1.75	2	0.014126
1.75	1.9	0.014105
1.75	1.8	0.014079
1.75	1.7	0.014046
1.75	1.6	0.014005
1.75	1.5	0.013954
1.75	1.4	0.013889
1.75	1.3	0.013807
1.75	1.2	0.013705
1.75	1.1	0.013577
1.75	1	0.013417
1.75	0.9	0.013216
1.75	0.8	0.012966
1.75	0.7	0.012655
1.75	0.6	0.012267
1.75	0.5	0.011789
1.75	0.4	0.0112
1.75	0.3	0.010481
1.75	0.2	0.009609
1.75	0.1	0.008566
1.75	0	0.007339
1.75	-0.1	0.00593
1.75	-0.2	0.004373
1.75	-0.3	0.002756
1.75	-0.4	0.001264
1.75	-0.5	2.49E-4
